order_number,site,carrier,gpu,cpu,ordered,case_on,motherboard_on,cpu_on,ram_on,memory_on,gpu_on,packaged,delivered
10019,Roswell,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 05:30:53","01/01/2021, 05:35:20","01/01/2021, 05:39:46","01/01/2021, 05:46:54","01/01/2021, 05:49:43","01/01/2021, 05:58:51","01/01/2021, 06:09:45","01/01/2021, 06:25:43","01/10/2021, 00:27:07"
10020,Area 51,TimeTraveler Mail,Chimera 3020,Ghidora 12,"01/01/2021, 05:46:16","01/01/2021, 05:49:57","01/01/2021, 05:55:04","01/01/2021, 06:01:38","01/01/2021, 06:05:59","01/01/2021, 06:15:52","01/01/2021, 06:21:55","01/01/2021, 06:25:03","01/05/2021, 04:55:58"
10021,Aurora,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/01/2021, 05:51:27","01/01/2021, 05:54:48","01/01/2021, 05:59:59","01/01/2021, 06:05:48","01/01/2021, 06:09:41","01/01/2021, 06:16:08","01/01/2021, 06:24:42","01/01/2021, 06:28:16","01/05/2021, 06:43:34"
10022,Roswell,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 06:03:47","01/01/2021, 06:08:35","01/01/2021, 06:14:22","01/01/2021, 06:22:14","01/01/2021, 06:28:05","01/01/2021, 06:35:23","01/01/2021, 06:42:21","01/01/2021, 06:59:28","01/05/2021, 20:00:20"
10023,Area 51,TimeTraveler Mail,Chimera 2080,Mothra 4,"01/01/2021, 06:19:24","01/01/2021, 06:25:10","01/01/2021, 06:30:03","01/01/2021, 06:39:05","01/01/2021, 06:43:50","01/01/2021, 06:51:44","01/01/2021, 06:58:54","01/01/2021, 07:01:51","01/04/2021, 07:24:37"
10024,Roswell,TimeTraveler Mail,Chimera 3020,Mothra 4,"01/01/2021, 06:19:39","01/01/2021, 06:25:37","01/01/2021, 06:31:29","01/01/2021, 06:35:54","01/01/2021, 06:40:41","01/01/2021, 06:48:23","01/01/2021, 06:58:18","01/01/2021, 07:06:37","01/04/2021, 19:40:32"
10025,Aurora,TimeTraveler Mail,Chimera 3020,Ghidora 12,"01/01/2021, 06:44:31","01/01/2021, 06:49:29","01/01/2021, 06:54:47","01/01/2021, 06:59:49","01/01/2021, 07:04:12","01/01/2021, 07:12:38","01/01/2021, 07:23:25","01/01/2021, 07:27:21","01/06/2021, 13:01:08"
10026,Area 51,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 07:07:52","01/01/2021, 07:13:23","01/01/2021, 07:18:09","01/01/2021, 07:26:33","01/01/2021, 07:29:22","01/01/2021, 07:36:59","01/01/2021, 07:47:30","01/01/2021, 07:51:20","01/08/2021, 21:31:05"
10027,Area 51,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 07:21:47","01/01/2021, 07:27:13","01/01/2021, 07:31:56","01/01/2021, 07:38:05","01/01/2021, 07:42:44","01/01/2021, 07:52:07","01/01/2021, 08:00:00","01/01/2021, 08:03:34","01/07/2021, 04:30:37"
10028,Roswell,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/01/2021, 07:44:03","01/01/2021, 07:47:58","01/01/2021, 07:51:27","01/01/2021, 08:00:34","01/01/2021, 08:06:36","01/01/2021, 08:14:01","01/01/2021, 08:25:10","01/01/2021, 08:37:38","01/05/2021, 21:29:26"
10029,Aurora,TimeTraveler Mail,Chimera 2080,Ghidora 12,"01/01/2021, 07:47:10","01/01/2021, 07:52:39","01/01/2021, 07:56:22","01/04/2021, 06:39:29","01/04/2021, 06:44:19","01/04/2021, 06:52:41","01/07/2021, 23:20:01","01/07/2021, 23:24:04","01/13/2021, 16:08:00"
10030,Aurora,HyperDrive Carriers,Chimera 3020,Ghidora 12,"01/01/2021, 07:55:58","01/01/2021, 07:59:43","01/01/2021, 08:02:59","01/01/2021, 08:11:34","01/01/2021, 08:14:58","01/01/2021, 08:22:36","01/01/2021, 08:30:37","01/01/2021, 08:34:27","01/07/2021, 19:47:10"
10031,Aurora,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/01/2021, 08:04:30","01/01/2021, 08:09:05","01/01/2021, 08:14:34","01/01/2021, 08:22:51","01/01/2021, 08:27:19","01/01/2021, 08:33:57","01/01/2021, 08:43:30","01/01/2021, 08:47:04","01/09/2021, 08:36:33"
10032,Aurora,HyperDrive Carriers,Chimera 2080,Ghidora 12,"01/01/2021, 08:04:57","01/01/2021, 08:07:29","01/01/2021, 08:12:17","01/01/2021, 08:18:13","01/01/2021, 08:22:27","01/01/2021, 08:29:34","01/01/2021, 08:39:12","01/01/2021, 08:43:01","01/08/2021, 19:19:38"
10033,Aurora,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 08:10:27","01/01/2021, 08:14:33","01/01/2021, 08:19:35","01/01/2021, 08:28:35","01/01/2021, 08:34:12","01/01/2021, 08:43:37","01/01/2021, 08:54:07","01/01/2021, 08:57:22","01/04/2021, 15:01:12"
10034,Roswell,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/01/2021, 08:50:38","01/01/2021, 08:57:15","01/01/2021, 09:02:30","01/01/2021, 09:10:39","01/01/2021, 09:14:04","01/01/2021, 09:21:17","01/01/2021, 09:31:27","01/01/2021, 09:38:17","01/06/2021, 19:18:12"
10035,Area 51,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/01/2021, 08:53:32","01/01/2021, 08:58:10","01/01/2021, 09:02:30","01/01/2021, 09:13:04","01/01/2021, 09:16:58","01/01/2021, 09:24:12","01/01/2021, 09:33:52","01/01/2021, 09:37:01","01/07/2021, 15:29:04"
10036,Roswell,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 08:53:49","01/01/2021, 08:58:17","01/01/2021, 09:02:45","01/01/2021, 09:10:20","01/01/2021, 09:15:01","01/01/2021, 09:21:38","01/01/2021, 09:30:29","01/01/2021, 09:35:58","01/06/2021, 09:01:38"
10037,Roswell,WarpSpeed Delivery,Chimera 3020,Ghidora 12,"01/01/2021, 08:54:03","01/01/2021, 08:58:53","01/01/2021, 09:03:06","01/01/2021, 09:09:52","01/01/2021, 09:16:09","01/01/2021, 09:23:21","01/01/2021, 09:33:30","01/01/2021, 09:44:06","01/07/2021, 08:35:47"
10038,Roswell,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 09:50:00","01/01/2021, 09:55:26","01/01/2021, 10:00:10","01/01/2021, 10:07:46","01/01/2021, 10:12:56","01/01/2021, 10:20:16","01/01/2021, 10:29:34","01/01/2021, 10:35:07","01/06/2021, 16:27:51"
10039,Area 51,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/01/2021, 09:55:04","01/01/2021, 10:01:18","01/01/2021, 10:05:34","01/01/2021, 10:11:29","01/01/2021, 10:15:05","01/01/2021, 10:22:55","01/01/2021, 10:35:10","01/01/2021, 10:38:27","01/10/2021, 17:14:16"
10040,Roswell,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/01/2021, 09:56:07","01/01/2021, 10:02:02","01/01/2021, 10:06:48","01/01/2021, 10:15:35","01/01/2021, 10:18:25","01/01/2021, 10:26:38","01/01/2021, 10:36:41","01/01/2021, 10:54:30","01/06/2021, 18:01:43"
10041,Roswell,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/01/2021, 10:32:52","01/01/2021, 10:37:42","01/01/2021, 10:41:46","01/01/2021, 10:50:34","01/01/2021, 10:54:10","01/01/2021, 11:02:38","01/01/2021, 11:11:18","01/01/2021, 11:25:46","01/09/2021, 01:48:47"
10042,Area 51,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/01/2021, 10:45:15","01/01/2021, 10:50:22","01/01/2021, 10:54:38","01/01/2021, 11:07:48","01/01/2021, 11:11:09","01/01/2021, 11:19:02","01/01/2021, 11:27:24","01/01/2021, 11:31:28","01/06/2021, 01:21:54"
10043,Area 51,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/01/2021, 10:48:27","01/01/2021, 10:51:34","01/01/2021, 10:56:18","01/01/2021, 11:01:57","01/01/2021, 11:07:28","01/01/2021, 11:15:40","01/01/2021, 11:27:08","01/01/2021, 11:30:09","01/08/2021, 07:47:50"
10044,Roswell,HyperDrive Carriers,Hydra 2080,Gojira 5,"01/01/2021, 10:51:27","01/01/2021, 10:56:00","01/01/2021, 11:00:46","01/01/2021, 11:09:27","01/01/2021, 11:15:27","01/01/2021, 11:23:44","01/01/2021, 11:30:43","01/01/2021, 11:35:23","01/10/2021, 03:13:32"
10045,Aurora,TimeTraveler Mail,Chimera 3020,Mothra 4,"01/01/2021, 11:06:52","01/01/2021, 11:12:07","01/01/2021, 11:16:28","01/01/2021, 11:23:19","01/01/2021, 11:28:08","01/01/2021, 11:36:01","01/01/2021, 11:47:40","01/01/2021, 11:52:26","01/05/2021, 22:29:02"
10046,Roswell,WarpSpeed Delivery,Chimera 2080,Gojira 5,"01/01/2021, 11:10:22","01/01/2021, 11:15:41","01/01/2021, 11:19:10","01/01/2021, 11:26:25","01/01/2021, 11:31:54","01/01/2021, 11:40:37","01/05/2021, 09:19:49","01/05/2021, 09:32:06","01/10/2021, 02:41:22"
10047,Area 51,WarpSpeed Delivery,Chimera 3020,Gojira 5,"01/01/2021, 11:12:17","01/01/2021, 11:15:36","01/01/2021, 11:20:55","01/01/2021, 11:26:47","01/01/2021, 11:30:39","01/01/2021, 11:38:14","01/01/2021, 11:48:48","01/01/2021, 11:53:31","01/05/2021, 10:54:05"
10048,Area 51,HyperDrive Carriers,Chimera 2080,Mothra 4,"01/01/2021, 11:17:49","01/01/2021, 11:23:03","01/01/2021, 11:26:40","01/01/2021, 11:34:49","01/01/2021, 11:39:50","01/01/2021, 11:46:17","01/05/2021, 08:02:46","01/05/2021, 08:06:34","01/14/2021, 03:41:55"
10049,Roswell,WarpSpeed Delivery,Hydra 2080,Gojira 5,"01/01/2021, 12:03:43","01/01/2021, 12:08:26","01/01/2021, 12:12:42","01/01/2021, 12:20:35","01/01/2021, 12:26:04","01/01/2021, 12:33:59","01/01/2021, 12:38:45","01/01/2021, 12:55:50","01/05/2021, 02:40:24"
10050,Area 51,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/01/2021, 12:07:06","01/01/2021, 12:12:15","01/01/2021, 12:16:20","01/01/2021, 12:20:41","01/01/2021, 12:24:43","01/01/2021, 12:31:29","01/01/2021, 12:40:47","01/01/2021, 12:44:04","01/06/2021, 04:44:09"
10051,Area 51,WarpSpeed Delivery,Hydra 2080,Gojira 5,"01/01/2021, 12:08:48","01/01/2021, 12:16:01","01/01/2021, 12:20:06","01/01/2021, 12:27:22","01/01/2021, 12:31:26","01/01/2021, 12:40:05","01/01/2021, 12:50:50","01/01/2021, 12:54:52","01/07/2021, 06:50:59"
10052,Roswell,TimeTraveler Mail,Chimera 3020,Ghidora 12,"01/01/2021, 12:40:01","01/01/2021, 12:46:17","01/01/2021, 12:51:07","01/01/2021, 13:00:17","01/01/2021, 13:03:04","01/01/2021, 13:12:20","01/01/2021, 13:22:06","01/01/2021, 13:30:42","01/07/2021, 02:57:25"
10053,Area 51,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/01/2021, 12:42:52","01/01/2021, 12:46:01","01/01/2021, 12:51:08","01/01/2021, 13:02:06","01/01/2021, 13:06:06","01/01/2021, 13:12:28","01/01/2021, 13:23:23","01/01/2021, 13:26:53","01/07/2021, 03:13:01"
10054,Roswell,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/01/2021, 12:59:47","01/01/2021, 13:04:52","01/01/2021, 13:09:08","01/01/2021, 13:20:01","01/01/2021, 13:24:16","01/01/2021, 13:32:56","01/01/2021, 13:42:00","01/01/2021, 13:48:53","01/05/2021, 09:28:24"
10055,Roswell,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/01/2021, 13:04:38","01/01/2021, 13:11:11","01/01/2021, 13:15:09","01/01/2021, 13:23:39","01/01/2021, 13:28:08","01/01/2021, 13:37:26","01/01/2021, 13:49:38","01/01/2021, 14:01:41","01/07/2021, 08:22:46"
10056,Aurora,TimeTraveler Mail,Chimera 3020,Ghidora 12,"01/01/2021, 13:07:42","01/01/2021, 13:13:51","01/01/2021, 13:18:11","01/04/2021, 12:48:29","01/04/2021, 12:51:44","01/04/2021, 13:00:31","01/04/2021, 13:10:27","01/04/2021, 13:14:57","01/09/2021, 10:01:26"
10057,Aurora,HyperDrive Carriers,Chimera 3020,Ghidora 12,"01/01/2021, 13:12:55","01/01/2021, 13:18:25","01/01/2021, 13:22:56","01/04/2021, 08:16:45","01/04/2021, 08:21:57","01/04/2021, 08:29:50","01/04/2021, 08:39:45","01/04/2021, 08:43:38","01/14/2021, 18:07:16"
10058,Aurora,TimeTraveler Mail,Hydra 2080,Mothra 4,"01/01/2021, 13:56:13","01/01/2021, 14:03:22","01/01/2021, 14:08:23","01/01/2021, 14:12:57","01/02/2021, 16:43:07","01/02/2021, 16:52:08","01/02/2021, 17:02:19","01/02/2021, 17:05:27","01/07/2021, 10:27:23"
10059,Aurora,WarpSpeed Delivery,Hydra 2080,Gojira 5,"01/01/2021, 14:11:35","01/01/2021, 14:16:22","01/01/2021, 14:20:07","01/01/2021, 14:24:45","01/01/2021, 14:29:49","01/01/2021, 14:38:05","01/01/2021, 14:47:04","01/01/2021, 14:50:40","01/08/2021, 07:09:13"
10060,Roswell,WarpSpeed Delivery,Hydra 2080,Gojira 5,"01/01/2021, 14:34:25","01/01/2021, 14:40:35","01/01/2021, 14:44:29","01/01/2021, 14:54:12","01/01/2021, 14:59:18","01/01/2021, 15:07:46","01/01/2021, 15:14:07","01/01/2021, 15:25:24","01/07/2021, 01:23:13"
10061,Aurora,TimeTraveler Mail,Chimera 3020,Mothra 4,"01/01/2021, 14:48:03","01/01/2021, 14:53:56","01/01/2021, 14:57:21","01/01/2021, 15:08:23","01/02/2021, 16:04:06","01/02/2021, 16:11:56","01/02/2021, 16:20:38","01/02/2021, 16:23:49","01/08/2021, 10:20:28"
10062,Roswell,TimeTraveler Mail,Hydra 2080,Ghidora 12,"01/01/2021, 14:50:30","01/01/2021, 14:54:27","01/01/2021, 14:58:50","01/04/2021, 09:43:56","01/04/2021, 09:48:17","01/04/2021, 09:57:22","01/04/2021, 10:06:29","01/04/2021, 10:19:38","01/09/2021, 00:54:23"
10063,Roswell,WarpSpeed Delivery,Hydra 2080,Gojira 5,"01/01/2021, 14:53:23","01/01/2021, 14:58:46","01/01/2021, 15:02:17","01/01/2021, 15:13:07","01/01/2021, 15:17:09","01/01/2021, 15:24:52","01/01/2021, 15:33:14","01/01/2021, 15:45:13","01/06/2021, 06:00:06"
10064,Area 51,TimeTraveler Mail,Chimera 3020,Gojira 5,"01/01/2021, 15:11:21","01/01/2021, 15:13:36","01/01/2021, 15:18:30","01/01/2021, 15:23:55","01/01/2021, 15:29:21","01/01/2021, 15:38:06","01/01/2021, 15:47:37","01/01/2021, 15:52:09","01/06/2021, 06:36:31"
10065,Roswell,TimeTraveler Mail,Chimera 3020,Mothra 4,"01/01/2021, 15:31:03","01/01/2021, 15:37:36","01/01/2021, 15:42:55","01/01/2021, 15:50:23","01/01/2021, 15:54:04","01/01/2021, 16:02:45","01/01/2021, 16:14:36","01/01/2021, 16:23:43","01/07/2021, 16:25:00"
10066,Area 51,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 15:39:45","01/01/2021, 15:45:14","01/01/2021, 15:49:55","01/04/2021, 19:51:35","01/04/2021, 19:55:38","01/04/2021, 20:03:52","01/04/2021, 20:13:17","01/04/2021, 20:16:22","01/13/2021, 01:29:57"
10067,Area 51,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/01/2021, 15:59:36","01/01/2021, 16:05:13","01/01/2021, 16:10:16","01/01/2021, 16:16:54","01/01/2021, 16:19:49","01/01/2021, 16:26:48","01/01/2021, 16:36:38","01/01/2021, 16:40:06","01/09/2021, 06:51:31"
10068,Aurora,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 16:10:24","01/01/2021, 16:16:00","01/01/2021, 16:19:02","01/01/2021, 16:26:53","01/01/2021, 16:31:48","01/01/2021, 16:40:36","01/01/2021, 16:51:55","01/01/2021, 16:55:05","01/11/2021, 20:12:10"
10069,Area 51,WarpSpeed Delivery,Hydra 2080,Ghidora 12,"01/01/2021, 16:47:40","01/01/2021, 16:52:14","01/01/2021, 16:57:00","01/01/2021, 17:04:55","01/01/2021, 17:10:05","01/01/2021, 17:16:49","01/01/2021, 17:25:47","01/01/2021, 17:29:40","01/07/2021, 05:52:09"
10070,Aurora,HyperDrive Carriers,Chimera 3020,Ghidora 12,"01/01/2021, 17:07:10","01/01/2021, 17:10:35","01/01/2021, 17:15:19","01/01/2021, 17:23:30","01/01/2021, 17:26:21","01/01/2021, 17:33:37","01/01/2021, 17:41:51","01/01/2021, 17:45:39","01/07/2021, 14:05:55"
10071,Roswell,TimeTraveler Mail,Hydra 2080,Gojira 5,"01/01/2021, 17:25:28","01/01/2021, 17:30:10","01/01/2021, 17:34:06","01/01/2021, 17:43:35","01/01/2021, 17:48:08","01/01/2021, 17:55:09","01/01/2021, 18:04:43","01/01/2021, 18:16:50","01/07/2021, 01:07:17"
10072,Aurora,HyperDrive Carriers,Chimera 3020,Ghidora 12,"01/01/2021, 17:35:47","01/01/2021, 17:41:36","01/01/2021, 17:43:20","01/01/2021, 17:55:41","01/01/2021, 18:00:29","01/01/2021, 18:07:42","01/01/2021, 18:16:29","01/01/2021, 18:19:38","01/10/2021, 18:15:25"
10073,Roswell,HyperDrive Carriers,Hydra 2080,Gojira 5,"01/01/2021, 18:25:57","01/01/2021, 18:31:04","01/01/2021, 18:35:37","01/01/2021, 18:42:30","01/01/2021, 18:47:08","01/01/2021, 18:55:54","01/01/2021, 19:10:19","01/01/2021, 19:18:17","01/10/2021, 15:04:27"
10074,Roswell,WarpSpeed Delivery,Chimera 3020,Mothra 4,"01/01/2021, 18:49:08","01/01/2021, 18:55:13","01/01/2021, 18:59:59","01/01/2021, 19:06:14","01/01/2021, 19:09:50","01/01/2021, 19:19:09","01/01/2021, 19:30:23","01/01/2021, 19:38:46","01/07/2021, 06:04:10"
10075,Area 51,HyperDrive Carriers,Hydra 2080,Ghidora 12,"01/01/2021, 18:53:39","01/01/2021, 18:57:13","01/01/2021, 19:03:35","01/01/2021, 19:09:30","01/01/2021, 19:14:15","01/01/2021, 19:22:50","01/01/2021, 19:32:47","01/01/2021, 19:35:46","01/10/2021, 11:12:18"
10076,Area 51,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/01/2021, 18:56:30","01/01/2021, 19:01:49","01/01/2021, 19:06:30","01/01/2021, 19:14:00","01/01/2021, 19:17:43","01/01/2021, 19:25:05","01/01/2021, 19:35:04","01/01/2021, 19:38:57","01/08/2021, 19:54:29"
10077,Area 51,WarpSpeed Delivery,Chimera 2080,Mothra 4,"01/01/2021, 19:10:31","01/01/2021, 19:15:22","01/01/2021, 19:19:43","01/01/2021, 19:28:01","01/01/2021, 19:32:42","01/01/2021, 19:40:27","01/05/2021, 17:55:19","01/05/2021, 17:58:54","01/13/2021, 06:27:33"
10078,Area 51,HyperDrive Carriers,Chimera 3020,Gojira 5,"01/01/2021, 20:15:40","01/01/2021, 20:21:56","01/01/2021, 20:25:36","01/01/2021, 20:33:10","01/01/2021, 20:37:07","01/01/2021, 20:43:53","01/01/2021, 20:52:38","01/01/2021, 20:56:01","01/10/2021, 03:52:43"
10079,Area 51,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/01/2021, 20:37:24","01/01/2021, 20:43:28","01/01/2021, 20:48:02","01/01/2021, 20:58:47","01/01/2021, 21:01:59","01/01/2021, 21:10:20","01/01/2021, 21:18:34","01/01/2021, 21:22:03","01/09/2021, 21:47:54"
10080,Area 51,TimeTraveler Mail,Chimera 3020,Ghidora 12,"01/01/2021, 20:49:23","01/01/2021, 20:54:02","01/01/2021, 20:59:31","01/01/2021, 21:08:34","01/01/2021, 21:12:01","01/01/2021, 21:19:04","01/01/2021, 21:27:29","01/01/2021, 21:31:40","01/07/2021, 23:09:54"
10081,Roswell,WarpSpeed Delivery,Hydra 2080,Ghidora 12,"01/01/2021, 20:55:46","01/01/2021, 21:00:44","01/01/2021, 21:06:03","01/01/2021, 21:14:27","01/01/2021, 21:19:13","01/01/2021, 21:26:40","01/01/2021, 21:34:58","01/01/2021, 21:49:54","01/05/2021, 17:09:45"
10082,Area 51,WarpSpeed Delivery,Hydra 2080,Mothra 4,"01/01/2021, 21:43:10","01/01/2021, 21:49:16","01/01/2021, 21:53:28","01/01/2021, 22:00:05","01/01/2021, 22:04:40","01/01/2021, 22:11:49","01/01/2021, 22:21:48","01/01/2021, 22:25:17","01/04/2021, 01:47:19"
10083,Aurora,TimeTraveler Mail,Chimera 3020,Mothra 4,"01/01/2021, 21:49:02","01/01/2021, 21:53:11","01/01/2021, 21:56:45","01/01/2021, 22:03:29","01/01/2021, 22:06:49","01/01/2021, 22:15:34","01/01/2021, 22:26:03","01/01/2021, 22:29:45","01/07/2021, 08:40:36"
10084,Aurora,HyperDrive Carriers,Chimera 3020,Mothra 4,"01/01/2021, 22:06:51","01/01/2021, 22:10:49","01/01/2021, 22:15:48","01/01/2021, 22:23:46","01/03/2021, 00:10:01","01/03/2021, 00:18:17","01/03/2021, 00:27:06","01/03/2021, 00:30:12","01/10/2021, 05:56:42"
