Date,Portfolio,Rep,Sector,High,Low
1/31/2019 0:00,P3,John,Information Technology,59.6722,33.8884
1/31/2019 0:00,P4,Paul,Consumer Discretionary,97.8791,81.3106
1/31/2019 0:00,P5,George,Consumer Staples,48.3888,37.8182
1/31/2019 0:00,P1,Ringo,Industrials,31.7934,21.3199
1/31/2019 0:00,P2,John,Financials,69.8445,52.5574
1/31/2019 0:00,P3,Paul,Financials,108.05485,84.1918
1/31/2019 0:00,P4,George,Telecommunication Services,43.554,31.899
1/31/2019 0:00,P5,Ringo,Information Technology,128.478,80.115
1/31/2019 0:00,P1,John,Information Technology,125.24,93.59
1/31/2019 0:00,P2,Paul,Consumer Discretionary,789.9111,481.3074
1/31/2019 0:00,P3,George,Real Estate,197.5248,152.8898
1/31/2019 0:00,P4,Ringo,Materials,124.9067,76.90158
1/31/2019 0:00,P5,John,Energy,57.1527,27.4694
1/31/2019 0:00,P1,Paul,Materials,43.24,34.888
1/31/2019 0:00,P2,George,Financials,33.3234,21.6286
1/31/2019 0:00,P3,Ringo,Health Care,74.0316,47.187
1/31/2019 0:00,P4,John,Financials,55.99,40.3466
1/31/2019 0:00,P5,Paul,Health Care,250.872688,172.1468
1/31/2019 0:00,P1,George,Financials,215.4438,157.7114
1/31/2019 0:00,P2,Ringo,Consumer Discretionary,77.0182,40.8366
1/31/2019 0:00,P3,John,Health Care,377.9814,239.3944
1/31/2019 0:00,P4,Paul,Financials,606.4104,360.64
1/31/2019 0:00,P5,George,Financials,32.436,19.453
1/31/2019 0:00,P1,Ringo,Industrials,354.221,160.4162
1/31/2019 0:00,P2,John,Consumer Discretionary,59.3844,36.7892
1/31/2019 0:00,P3,Paul,Real Estate,138.7287,109.6326
1/31/2019 0:00,P4,George,Health Care,29.6307,22.8242
1/31/2019 0:00,P5,Ringo,Financials,76.5,51.69598
1/31/2019 0:00,P1,John,Health Care,65.439,50.0976
1/31/2019 0:00,P2,Paul,Information Technology,279.9664,198.5578
1/31/2019 0:00,P3,George,Consumer Staples,69.9028,44.5067
1/31/2019 0:00,P4,Ringo,Industrials,102.1836,62.1418
1/31/2019 0:00,P5,John,Information Technology,35.8288,29.841
1/31/2019 0:00,P1,Paul,Energy,28.9786,20.972
1/31/2019 0:00,P2,George,Information Technology,45.54,28.4298
1/31/2019 0:00,P3,Ringo,Consumer Staples,64.8723,42.63
1/31/2019 0:00,P4,John,Financials,108.63,74.529
1/31/2019 0:00,P5,Paul,Health Care,84.0312,53.5668
1/31/2019 0:00,P1,George,Consumer Discretionary,78.4164,53.2042
1/31/2019 0:00,P2,Ringo,Consumer Discretionary,73.427,53.655
1/31/2019 0:00,P3,John,Industrials,176.7048,88.5332
1/31/2019 0:00,P4,Paul,Financials,139.9254,75.215
1/31/2019 0:00,P5,George,Real Estate,45.668,29.8214
1/31/2019 0:00,P1,Ringo,Consumer Discretionary,70.79595,51.695
1/31/2019 0:00,P2,John,Health Care,144.2266,90.993
1/31/2019 0:00,P3,Paul,Health Care,111.2958,63.7294
1/31/2019 0:00,P4,George,Utilities,30.7545,24.9998
1/31/2019 0:00,P5,Ringo,Telecommunication Services,27.0578,12.89778
1/31/2019 0:00,P1,John,Health Care,75.3372,50.236466
1/31/2019 0:00,P2,Paul,Materials,43.1004,24.5392
1/31/2019 0:00,P3,George,Financials,55.125,36.4168
1/31/2019 0:00,P4,Ringo,Consumer Discretionary,408.83,302.134
1/31/2019 0:00,P5,John,Energy,6.7218,2.744
1/31/2019 0:00,P1,Paul,Energy,132.5412,100.499
1/31/2019 0:00,P2,George,Consumer Discretionary,489.02,257.74
1/31/2019 0:00,P3,Ringo,Financials,159.075,127.5666
1/31/2019 0:00,P4,John,Consumer Staples,53.096302,42.3458
1/31/2019 0:00,P5,Paul,Health Care,222.5874,139.0914
1/31/2019 0:00,P1,George,Energy,133.5838,87.7002
1/31/2019 0:00,P2,Ringo,Financials,83.6196,66.8752
1/31/2019 0:00,P3,John,Industrials,166.5608,111.5142
1/31/2019 0:00,P4,Paul,Information Technology,42.98,29.7528
1/31/2019 0:00,P5,George,Financials,81.507,55.0172
1/31/2019 0:00,P1,Ringo,Financials,47.2654,30.8798
1/31/2019 0:00,P2,John,Information Technology,94.05,71.867908
1/31/2019 0:00,P3,Paul,Financials,163,112.521248
1/31/2019 0:00,P4,George,Utilities,50.85,40.2486
1/31/2019 0:00,P5,Ringo,Consumer Staples,48.12885,39.4156
1/31/2019 0:00,P1,John,Information Technology,80.8656,53.6648
1/31/2019 0:00,P2,Paul,Consumer Staples,77.91,64.9348
1/31/2019 0:00,P3,George,Consumer Discretionary,44.44,34.0844
1/31/2019 0:00,P4,Ringo,Financials,97.1982,62.7592
1/31/2019 0:00,P5,John,Consumer Staples,42.5136,31.5168
1/31/2019 0:00,P1,Paul,Energy,164.5391,104.5954
1/31/2019 0:00,P2,George,Energy,61.92815,41.4197
1/31/2019 0:00,P3,Ringo,Utilities,88.803,71.1774
1/31/2019 0:00,P4,John,Consumer Staples,231.795,148.9698
1/31/2019 0:00,P5,Paul,Information Technology,34.749,25.7838
1/31/2019 0:00,P1,George,Consumer Staples,199.88,147
1/31/2019 0:00,P2,Ringo,Consumer Staples,20.96325,13.9552
1/31/2019 0:00,P3,John,Real Estate,112.6706,85.1914
1/31/2019 0:00,P4,Paul,Information Technology,34.4658,26.8324
1/31/2019 0:00,P5,George,Industrials,61.2408,44.5018
1/31/2019 0:00,P1,Ringo,Industrials,196.1218,140.953498
1/31/2019 0:00,P2,John,Consumer Staples,83.16,65.121
1/31/2019 0:00,P3,Paul,Consumer Discretionary,54.3864,28.784168
1/31/2019 0:00,P4,George,Health Care,103.7718,77.3906
1/31/2019 0:00,P5,Ringo,Consumer Discretionary,102.1122,70.266
1/31/2019 0:00,P1,John,Health Care,82.3242,51.4598
1/31/2019 0:00,P2,Paul,Industrials,175.3992,104.5856
1/31/2019 0:00,P3,George,Industrials,61.3979,42.9338
1/31/2019 0:00,P4,Ringo,Health Care,69.6698,51.4843
1/31/2019 0:00,P5,John,Energy,46.7775,28.218806
1/31/2019 0:00,P1,Paul,Real Estate,129.7746,99.07898
1/31/2019 0:00,P2,George,Financials,81.1107,56.35
1/31/2019 0:00,P3,Ringo,Consumer Discretionary,30.25,15.6702
1/31/2019 0:00,P4,John,Consumer Discretionary,29.4718,14.6902
1/31/2019 0:00,P5,Paul,Consumer Discretionary,66.5,41.6304
1/31/2019 0:00,P1,George,Consumer Discretionary,105.82,64.6506
1/31/2019 0:00,P2,Ringo,Consumer Discretionary,116.65,64.3174
1/31/2019 0:00,P3,John,Utilities,87.006,70.1582
1/31/2019 0:00,P4,Paul,Industrials,110.1506,73.9998
1/31/2019 0:00,P5,George,Materials,77.08,62.7298
1/31/2019 0:00,P1,Ringo,Consumer Staples,127.9165,81.5654
1/31/2019 0:00,P2,John,Utilities,117.9074,94.6288
1/31/2019 0:00,P3,Paul,Utilities,89.964,71.4714
1/31/2019 0:00,P4,George,Real Estate,30.14,24.2354
1/31/2019 0:00,P5,Ringo,Information Technology,100.891,66.4048
1/31/2019 0:00,P1,John,Financials,56,31.605
1/31/2019 0:00,P2,Paul,Materials,104.08,74.4996
1/31/2019 0:00,P3,George,Industrials,88.9515,68.061
1/31/2019 0:00,P4,Ringo,Information Technology,46.0502,31.2522
1/31/2019 0:00,P5,John,Materials,140.5,117.2178
1/31/2019 0:00,P1,Paul,Utilities,83.38,57.5848
1/31/2019 0:00,P2,George,Health Care,139.8648,87.416
1/31/2019 0:00,P3,Ringo,Information Technology,129.6999,79.6446
1/31/2019 0:00,P4,John,Industrials,75.939,55.6346
1/31/2019 0:00,P5,Paul,Utilities,86.191,68.2374
1/31/2019 0:00,P1,George,Health Care,73,23.2946
1/31/2019 0:00,P2,Ringo,Energy,116.62,80.3502
1/31/2019 0:00,P3,John,Energy,66.4832,46.1874
1/31/2019 0:00,P4,Paul,Industrials,148.4902,88.9056
1/31/2019 0:00,P5,George,Real Estate,490.39155,354.662
1/31/2019 0:00,P1,Ringo,Real Estate,70.455,54.9486
1/31/2019 0:00,P2,John,Real Estate,267.3396,209.7494
1/31/2019 0:00,P3,Paul,Consumer Staples,141.5148,80.0562
1/31/2019 0:00,P4,George,Financials,279.9417,204.6338
1/31/2019 0:00,P5,Ringo,Utilities,66.15,54.096
1/31/2019 0:00,P1,John,Utilities,41.8166,32.634
1/31/2019 0:00,P2,Paul,Consumer Discretionary,164.22,113.239
1/31/2019 0:00,P3,George,Industrials,68.2154,50.9208
1/31/2019 0:00,P4,Ringo,Health Care,82.65015,54.684
1/31/2019 0:00,P5,John,Real Estate,87.6744,69.9132
1/31/2019 0:00,P1,Paul,Energy,87.514,74.529
1/31/2019 0:00,P2,George,Information Technology,149.5,112.3374
1/31/2019 0:00,P3,Ringo,Information Technology,191.4136,129.7912
1/31/2019 0:00,P4,John,Industrials,57.815,38.9942
1/31/2019 0:00,P5,Paul,Real Estate,145.2279,107.5452
1/31/2019 0:00,P1,George,Industrials,269.1668,179.2322
1/31/2019 0:00,P2,Ringo,Information Technology,102.6135,76.0774
1/31/2019 0:00,P3,John,Financials,34.2491,22.736
1/31/2019 0:00,P4,Paul,Utilities,35.9244,27.3714
1/31/2019 0:00,P5,George,Information Technology,147.084,104.076
1/31/2019 0:00,P1,Ringo,Information Technology,53.4088,33.075
1/31/2019 0:00,P2,John,Industrials,52.9584,36.7598
1/31/2019 0:00,P3,Paul,Industrials,62.09,36.294398
1/31/2019 0:00,P4,George,Materials,96.726,55.3994
1/31/2019 0:00,P5,Ringo,Consumer Discretionary,77.86,27.8516
1/31/2019 0:00,P1,John,Consumer Discretionary,13.48,9.9862
1/31/2019 0:00,P2,Paul,Industrials,77.4468,53.786712
1/31/2019 0:00,P3,George,Industrials,72.1476,54.145
1/31/2019 0:00,P4,Ringo,Financials,47.65,36.2698
1/31/2019 0:00,P5,John,Materials,20.655,10.829
1/31/2019 0:00,P1,Paul,Consumer Discretionary,34.9664,20.5996
1/31/2019 0:00,P2,George,Consumer Discretionary,66.2592,47.53
1/31/2019 0:00,P3,Ringo,Information Technology,139.3168,96.0008
1/31/2019 0:00,P4,John,Industrials,234.1308,178.3012
1/31/2019 0:00,P5,Paul,Industrials,30.59,14.4158
1/31/2019 0:00,P1,George,Real Estate,25.72,18.4534
1/31/2019 0:00,P2,Ringo,Consumer Staples,65.0046,48.657
1/31/2019 0:00,P3,John,Consumer Discretionary,47.2276,31.2816
1/31/2019 0:00,P4,Paul,Consumer Discretionary,109.905,78.2628
1/31/2019 0:00,P5,George,Health Care,91.3308,62.48382
1/31/2019 0:00,P1,Ringo,Information Technology,115.5252,74.9406
1/31/2019 0:00,P2,John,Financials,273.79,205.4276
1/31/2019 0:00,P3,Paul,Consumer Discretionary,36.456,28.2338
1/31/2019 0:00,P4,George,Industrials,301.12645,151.9
1/31/2019 0:00,P5,Ringo,Energy,58.4386,37.41738
1/31/2019 0:00,P1,John,Consumer Discretionary,25.9873,18.522
1/31/2019 0:00,P2,Paul,Consumer Discretionary,64.034,43.6296
1/31/2019 0:00,P3,George,Information Technology,160.67,102.0768
1/31/2019 0:00,P4,Ringo,Financials,58.016,45.423
1/31/2019 0:00,P5,John,Consumer Discretionary,117.362,86.1616
1/31/2019 0:00,P1,Paul,Health Care,105.7716,69.7564
1/31/2019 0:00,P2,George,Real Estate,34.0067,22.344
1/31/2019 0:00,P3,Ringo,Energy,75.02,41.3168
1/31/2019 0:00,P4,John,Health Care,93.495,63.9744
1/31/2019 0:00,P5,Paul,Energy,56.0348,36.505
1/31/2019 0:00,P1,George,Information Technology,24.6312,12.5587
1/31/2019 0:00,P2,Ringo,Consumer Discretionary,88.9911,54.6742
1/31/2019 0:00,P3,John,Health Care,47.736,35.0448
1/31/2019 0:00,P4,Paul,Consumer Discretionary,211.7571,134.0836
1/31/2019 0:00,P5,George,Industrials,165.13,116.9238
1/31/2019 0:00,P1,Ringo,Consumer Staples,38,29.155
1/31/2019 0:00,P2,John,Real Estate,21.7453,16.9148
1/31/2019 0:00,P3,Paul,Information Technology,24.582,15.0822
1/31/2019 0:00,P4,George,Health Care,290.4165,185.2298
1/31/2019 0:00,P5,Ringo,Financials,16.53,11.8972
1/31/2019 0:00,P1,John,Industrials,253.44,179.7516
1/31/2019 0:00,P2,Paul,Health Care,200.7173,137.8174
1/31/2019 0:00,P3,George,Industrials,49.6819,37.0636
1/31/2019 0:00,P4,Ringo,Industrials,179.07,123.9896
1/31/2019 0:00,P5,John,Health Care,243.9906,154.859894
1/31/2019 0:00,P1,Paul,Health Care,153.15,82.5258
1/31/2019 0:00,P2,George,Industrials,95.7166,75.7148
1/31/2019 0:00,P3,Ringo,Information Technology,50.85,32.5654
1/31/2019 0:00,P4,John,Financials,76.899178,55.664
1/31/2019 0:00,P5,Paul,Information Technology,179.1342,136.3474
1/31/2019 0:00,P1,George,Materials,66.2706,48.608
1/31/2019 0:00,P2,Ringo,Consumer Discretionary,25.4529,17.934
1/31/2019 0:00,P3,John,Materials,154.252,113.974
1/31/2019 0:00,P4,Paul,Information Technology,172.2959,109.662
1/31/2019 0:00,P5,George,Health Care,447.48,228.4443014
1/31/2019 0:00,P1,Ringo,Financials,38.43,28.7728
1/31/2019 0:00,P2,John,Health Care,110.67,74.4212
1/31/2019 0:00,P3,Paul,Real Estate,42.3606,31.409
1/31/2019 0:00,P4,George,Industrials,123.9602,81.683
1/31/2019 0:00,P5,Ringo,Industrials,72.9018,48.3238
1/31/2019 0:00,P1,John,Consumer Staples,140.8064,97.5737
1/31/2019 0:00,P2,Paul,Health Care,149.8032,110.887
1/31/2019 0:00,P3,George,Industrials,44.8137,33.8198
1/31/2019 0:00,P4,Ringo,Financials,117.3529,80.0023
1/31/2019 0:00,P5,John,Information Technology,31.2696,23.3926
1/31/2019 0:00,P1,Paul,Industrials,112.553,79.9092
1/31/2019 0:00,P2,George,Consumer Staples,75.9231,57.5848
1/31/2019 0:00,P3,Ringo,Financials,21.7756,15.9544
1/31/2019 0:00,P4,John,Consumer Staples,134.8479,107.4766
1/31/2019 0:00,P5,Paul,Real Estate,25.15,14.0434
1/31/2019 0:00,P1,George,Energy,23.205,16.2288
1/31/2019 0:00,P2,Ringo,Information Technology,120.4335,84.6034
1/31/2019 0:00,P3,John,Consumer Discretionary,70.5228,34.4568
1/31/2019 0:00,P4,Paul,Consumer Staples,95.8146,70.609
1/31/2019 0:00,P5,George,Consumer Staples,35.0975,19.2962
1/31/2019 0:00,P1,Ringo,Consumer Discretionary,64.362,34.3
1/31/2019 0:00,P2,John,Industrials,223.0791,156.2414
1/31/2019 0:00,P3,Paul,Health Care,185.3493,127.68616
1/31/2019 0:00,P4,George,Information Technology,219.7,110.934236
1/31/2019 0:00,P5,Ringo,Consumer Discretionary,54.4203,41.16
1/31/2019 0:00,P1,John,Consumer Discretionary,73.6134,42.77411194
1/31/2019 0:00,P2,Paul,Financials,28.583,21.7854
1/31/2019 0:00,P3,George,Health Care,87.3082,74.1958
1/31/2019 0:00,P4,Ringo,Financials,87.5468,60.221
1/31/2019 0:00,P5,John,Consumer Discretionary,43.8599,27.293
1/31/2019 0:00,P1,Paul,Industrials,369.0258,251.272
1/31/2019 0:00,P2,George,Financials,54.1259,44.1098
1/31/2019 0:00,P3,Ringo,Consumer Discretionary,111.1596,69.3448
1/31/2019 0:00,P4,John,Materials,119.511,76.4498
1/31/2019 0:00,P5,Paul,Financials,197.727,138.2976
1/31/2019 0:00,P1,George,Real Estate,69.73,51.0776
1/31/2019 0:00,P2,Ringo,Consumer Discretionary,33.0554,17.0569
1/31/2019 0:00,P3,John,Energy,19.1296,10.339
1/31/2019 0:00,P4,Paul,Energy,72.0594,46.4422
1/31/2019 0:00,P5,George,Consumer Discretionary,146.2258,83.66505
1/31/2019 0:00,P1,Ringo,Financials,84.8092,67.9434
1/31/2019 0:00,P2,John,Materials,246.7632,187.2682
1/31/2019 0:00,P3,Paul,Industrials,45.98055,30.6642
1/31/2019 0:00,P4,George,Information Technology,175.3389,103.684
1/31/2019 0:00,P5,Ringo,Consumer Discretionary,26.037,12.4558
1/31/2019 0:00,P1,John,Consumer Staples,109.67,88.445
1/31/2019 0:00,P2,Paul,Consumer Discretionary,175.126,121.8728
1/31/2019 0:00,P3,George,Health Care,177.0714,131.1436
1/31/2019 0:00,P4,Ringo,Health Care,87.9256,73.9312
1/31/2019 0:00,P5,John,Health Care,67.468,52.5574
1/31/2019 0:00,P1,Paul,Financials,57.1458,43.6884
1/31/2019 0:00,P2,George,Health Care,683.3148,450.1532
1/31/2019 0:00,P3,Ringo,Consumer Discretionary,38.41,24.647
1/31/2019 0:00,P4,John,Consumer Discretionary,68.551,31.7324
1/31/2019 0:00,P5,Paul,Information Technology,99.17,68.3648
1/31/2019 0:00,P1,George,Information Technology,48.8922,22.1872
1/31/2019 0:00,P2,Ringo,Information Technology,95.1093,61.9556
1/31/2019 0:00,P3,John,Real Estate,113.169,85.211
1/31/2019 0:00,P4,Paul,Consumer Discretionary,292.587,205.702
1/31/2019 0:00,P5,George,Consumer Staples,100.0972,74.2742
1/31/2019 0:00,P1,Ringo,Consumer Staples,47.23,38.4062
1/31/2019 0:00,P2,John,Materials,121.9185,104.8306
1/31/2019 0:00,P3,Paul,Consumer Staples,70.215,40.1996
1/31/2019 0:00,P4,George,Financials,163.8854,104.3504
1/31/2019 0:00,P5,Ringo,Financials,59.211,39.2588
1/31/2019 0:00,P1,John,Information Technology,107.78,75.6854
1/31/2019 0:00,P2,Paul,Health Care,48.7764,28.8022
1/31/2019 0:00,P3,George,Financials,84.9558,64.6604
1/31/2019 0:00,P4,Ringo,Energy,41.895,29.302
1/31/2019 0:00,P5,John,Financials,16.8003,11.25138
1/31/2019 0:00,P1,Paul,Information Technology,64.0599,36.6814
1/31/2019 0:00,P2,George,Information Technology,292.5462,135.4948
1/31/2019 0:00,P3,Ringo,Consumer Discretionary,55.6308,23.373
1/31/2019 0:00,P4,John,Energy,44.6148,23.9218
1/31/2019 0:00,P5,Paul,Materials,42.04,30.7916
1/31/2019 0:00,P1,George,Consumer Discretionary,17.29,11.76
1/31/2019 0:00,P2,Ringo,Consumer Discretionary,17.877,12.103
1/31/2019 0:00,P3,John,Utilities,162.8328,121.6964
1/31/2019 0:00,P4,Paul,Industrials,46.6446,33.5356
1/31/2019 0:00,P5,George,Consumer Discretionary,70.2066,49.343
1/31/2019 0:00,P1,Ringo,Utilities,27.76,21.4914
1/31/2019 0:00,P2,John,Energy,39.204,22.5253
1/31/2019 0:00,P3,Paul,Consumer Discretionary,52.47,37.036552
1/31/2019 0:00,P4,George,Industrials,160.292898,107.0846
1/31/2019 0:00,P5,Ringo,Financials,106.7318,81.5066
1/31/2019 0:00,P1,John,Industrials,356.1636,227.3404
1/31/2019 0:00,P2,Paul,Consumer Discretionary,60.8652,46.0208
1/31/2019 0:00,P3,George,Utilities,30.3756,14.2296
1/31/2019 0:00,P4,Ringo,Materials,71.8896,50.6366
1/31/2019 0:00,P5,John,Information Technology,251.7627,93.2666
1/31/2019 0:00,P1,Paul,Consumer Discretionary,279.23,166.0414
1/31/2019 0:00,P2,George,Energy,79.6518,56.056
1/31/2019 0:00,P3,Ringo,Consumer Discretionary,86.71,64.0136
1/31/2019 0:00,P4,John,Energy,60.1328,46.1972
1/31/2019 0:00,P5,Paul,Information Technology,54.2028,39.2098
1/31/2019 0:00,P1,George,Industrials,78.0962,60.6914
1/31/2019 0:00,P2,Ringo,Materials,131.1316,86.7006
1/31/2019 0:00,P3,John,Industrials,208.544,142.4724
1/31/2019 0:00,P4,Paul,Health Care,48.77795,31.4286
1/31/2019 0:00,P5,George,Information Technology,71.638,53.116
1/31/2019 0:00,P1,Ringo,Information Technology,86.32,39.1216
1/31/2019 0:00,P2,John,Industrials,76.3368,56.4774
1/31/2019 0:00,P3,Paul,Financials,20.3414,15.6457
1/31/2019 0:00,P4,George,Consumer Staples,121.2849,102.6746
1/31/2019 0:00,P5,Ringo,Health Care,86.1798,51.5774
1/31/2019 0:00,P1,John,Health Care,96.8893,62.4064
1/31/2019 0:00,P2,Paul,Health Care,39.0357,31.0366
1/31/2019 0:00,P3,George,Utilities,70.1386,37.681
1/31/2019 0:00,P4,Ringo,Consumer Staples,121.079,94.7268
1/31/2019 0:00,P5,John,Energy,109.6194,73.6323
1/31/2019 0:00,P1,Paul,Utilities,91.5552,72.3338
1/31/2019 0:00,P2,George,Energy,197.8317,122.9508
1/31/2019 0:00,P3,Ringo,Financials,160.07,112.945
1/31/2019 0:00,P4,John,Consumer Discretionary,120.5233,64.7388
1/31/2019 0:00,P5,Paul,Materials,119.628306,97.5786
1/31/2019 0:00,P1,George,Utilities,39.396,28.6209
1/31/2019 0:00,P2,Ringo,Materials,165.2805,113.2194
1/31/2019 0:00,P3,John,Consumer Discretionary,2109.3498,1557.22
1/31/2019 0:00,P4,Paul,Financials,74.82915,57.761298
1/31/2019 0:00,P5,George,Consumer Staples,94.67,78.498
1/31/2019 0:00,P1,Ringo,Financials,57.085,36.1032
1/31/2019 0:00,P2,John,Real Estate,66.1794,47.7162
1/31/2019 0:00,P3,Paul,Financials,125.8686,95.9224
1/31/2019 0:00,P4,George,Utilities,54.3456,40.8366
1/31/2019 0:00,P5,Ringo,Real Estate,234.5321,177.306892
1/31/2019 0:00,P1,John,Consumer Discretionary,35.9142,20.6388
1/31/2019 0:00,P2,Paul,Consumer Discretionary,154.8008,82.8394
1/31/2019 0:00,P3,George,Information Technology,85.24,61.4264
1/31/2019 0:00,P4,Ringo,Information Technology,69.9728,47.9416
1/31/2019 0:00,P5,John,Industrials,39.70395,29.6254
1/31/2019 0:00,P1,Paul,Health Care,111.83535,88.298
1/31/2019 0:00,P2,George,Energy,33.7491,12.446
1/31/2019 0:00,P3,Ringo,Financials,98.109,69.923
1/31/2019 0:00,P4,John,Industrials,209.181,144.9028
1/31/2019 0:00,P5,Paul,Real Estate,63.6,47.9122
1/31/2019 0:00,P1,George,Information Technology,138.4854,76.9104
1/31/2019 0:00,P2,Ringo,Real Estate,73.491,55.5268
1/31/2019 0:00,P3,John,Health Care,532.680764,313.11
1/31/2019 0:00,P4,Paul,Financials,19.9,12.74
1/31/2019 0:00,P5,George,Industrials,68.706,56.3794
1/31/2019 0:00,P1,Ringo,Health Care,102.6844,65.6992
1/31/2019 0:00,P2,John,Industrials,61.8018,42.0616
1/31/2019 0:00,P3,Paul,Industrials,212.8272,144.7166
1/31/2019 0:00,P4,George,Industrials,141.0263,88.102
1/31/2019 0:00,P5,Ringo,Industrials,284.6067,187.3956
1/31/2019 0:00,P1,John,Consumer Discretionary,87.3732,51.793
1/31/2019 0:00,P2,Paul,Consumer Discretionary,132.937,91.532
1/31/2019 0:00,P3,George,Financials,181.6724,122.1472
1/31/2019 0:00,P4,Ringo,Information Technology,112.2296,78.0374
1/31/2019 0:00,P5,John,Real Estate,174.1166,101.4398
1/31/2019 0:00,P1,Paul,Utilities,71.28,34.6038
1/31/2019 0:00,P2,George,Energy,82.71,59.7996
1/31/2019 0:00,P3,Ringo,Consumer Discretionary,87.9813,63.5726
1/31/2019 0:00,P4,John,Information Technology,56.45,29.988
1/31/2019 0:00,P5,Paul,Materials,50.1138,40.3956
1/31/2019 0:00,P1,George,Utilities,121.74525,98.6174
1/31/2019 0:00,P2,Ringo,Materials,430.7985,295.969898
1/31/2019 0:00,P3,John,Consumer Discretionary,77.1606,45.1682
1/31/2019 0:00,P4,Paul,Real Estate,183.603,147.147
1/31/2019 0:00,P5,George,Information Technology,115.297,88.7194
1/31/2019 0:00,P1,Ringo,Real Estate,117.6468,89.376
1/31/2019 0:00,P2,John,Consumer Discretionary,189.1794,138.0134
1/31/2019 0:00,P3,Paul,Utilities,52.4398,41.7774
1/31/2019 0:00,P4,George,Industrials,65.6453,48.7648
1/31/2019 0:00,P5,Ringo,Consumer Discretionary,180.1524,118.6682
1/31/2019 0:00,P1,John,Consumer Discretionary,64.2213,51.5284
1/31/2019 0:00,P2,Paul,Financials,113.1273,73.7646
1/31/2019 0:00,P3,George,Industrials,87.12,60.025
1/31/2019 0:00,P4,Ringo,Health Care,170,119.5698
1/31/2019 0:00,P5,John,Financials,72.7806,50.9208
1/31/2019 0:00,P1,Paul,Information Technology,34.542,25.137
1/31/2019 0:00,P2,George,Financials,41.4018,25.4898
1/31/2019 0:00,P3,Ringo,Information Technology,93.852,63.455
